الاسم,درجة الحرارة المثلى,هطول الأمطار المثالي,pH التربة,ضوء الشمس,N (ppm),P (ppm),K (ppm)
قمح (Wheat),16–25°C,300–1500 mm,6.0–7.5,شمس كاملة,100–150,30–60,80–120
شعير (Barley),15–25°C,200–1000 mm,6.0–8.0,شمس كاملة,80–120,20–50,40–100
ذرة (Maize),18–27°C,400–1800 mm,6.0–7.0,شمس كاملة,120–200,40–80,80–150
سمسم (Sesame),23–35°C,500–1000 mm,6.0–7.5,شمس كاملة,60–120,20–50,40–100
زيتون (Olive),10–30°C,300–600 mm,6.0–8.5,شمس كاملة,50–100,20–40,100–200
نخيل تمر (Date Palm),25–35°C,100–300 mm (مع ري),8.0–11.0,شمس كاملة,100–150,20–50,150–300
حمص (Chickpea),20–30°C,400–800 mm,6.0–7.0,شمس كاملة,يثبت بنفسه,30–60,40–80
طماطم (Tomato),20–27°C,600–800 mm,5.5–7.0,شمس كاملة,150–200,50–70,200–300
بصل (Onion),13–24°C,400–800 mm,6.0–7.0,شمس كاملة,80–120,30–50,100–200
بطاطا (Potato),15–20°C,500–1200 mm,5.0–6.5,شمس كاملة,120–180,40–60,150–250
فول سوداني (Peanut),25–30°C,500–1000 mm,5.5–7.0,شمس كاملة,يثبت بنفسه,20–40,60–120
فول (Fava Bean),15–22°C,400–800 mm,6.0–7.5,شمس كاملة,يثبت بنفسه,30–60,60–120
خيار (Cucumber),18–30°C,600–1000 mm,5.5–6.8,شمس كاملة,120–180,50–80,150–250
باذنجان (Eggplant),21–30°C,600–800 mm,5.5–6.5,شمس كاملة,150–200,50–70,200–300
فلفل حلو (Bell Pepper),20–25°C,600–900 mm,6.0–6.8,شمس كاملة,150–200,40–60,180–250
عنب (Grapes),15–30°C,600–800 mm,5.5–7.0,شمس كاملة,60–100,20–40,100–200
برتقال (Orange),13–30°C,750–1500 mm,5.5–6.5,شمس كاملة,100–200,40–60,120–200
بطيخ (Watermelon),21–30°C,400–600 mm,6.0–7.5,شمس كاملة,90–120,30–50,120–200
كوسا (Zucchini),20–28°C,600–800 mm,6.0–7.0,شمس كاملة,100–150,40–60,120–200
فصة (Alfalfa),18–30°C,600–1000 mm,6.5–7.5,شمس كاملة,يثبت بنفسه,20–50,150–250
تفاح (Apple),15–24°C,800–1200 mm,6.0–6.5,شمس كاملة,60–120,20–40,100–200
مشمش (Apricot),18–30°C,600–1000 mm,6.0–7.5,شمس كاملة,60–100,20–40,80–150
خوخ (Peach),16–30°C,600–1000 mm,6.0–7.0,شمس كاملة,80–120,30–50,100–200
رمان (Pomegranate),18–32°C,500–800 mm,5.5–7.2,شمس كاملة,50–100,20–40,100–180
ليمون (Lemon),20–30°C,750–1500 mm,5.5–6.5,شمس كاملة,100–150,30–50,120–200
كرفس (Celery),15–21°C,600–1000 mm,6.0–7.0,شمس كاملة,100–150,40–60,150–200
نعناع (Mint),13–24°C,700–1200 mm,6.0–7.5,شمس جزئية إلى كاملة,80–120,30–50,100–150
ريحان (Basil),20–30°C,600–1000 mm,6.0–7.5,شمس كاملة,80–120,30–50,100–150
فجل (Radish),10–22°C,500–900 mm,5.5–6.8,شمس كاملة,60–100,30–50,80–120
ذرة رفيعة (Sorghum),25–32°C,400–800 mm,5.5–8.0,شمس كاملة,80–140,30–60,60–120
